ZIPCODE,Vehicle Count,The State Federal Information Processing System (FIPS) code,The State associated with the ZIP code,Number of returns [3],Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number of returns with paid preparer's signature,Number of returns with direct deposit,Number of returns with virtual currency indicator,Number of individuals [4],Total number of volunteer prepared returns [5],Number of volunteer income tax assistance (VITA) prepared returns [5],Number of tax counseling for the elderly (TCE) prepared returns [5],Number of refund anticipation check returns [6],Number of elderly returns [7],Salaries and wages amount,Taxable interest amount,Ordinary dividends amount,Qualified dividends amount [9],State and local income tax refunds amount,Business or professional net income (less loss) amount,Net capital gain (less loss) amount,Taxable individual retirement arrangements distributions amount,Taxable pensions and annuities amount,Number of farm returns,Unemployment compensation amount [10],Taxable Social Security benefits amount,Partnership/S-corp net income (less loss) amount,Educator expenses amount,Self-employed (Keogh) retirement plans amount,Self-employed health insurance deduction amount,Individual retirement arrangement payments amount,Student loan interest deduction amount,Charitable contributions if took standard deduction,Basic standard deduction amount,Additional standard deduction amount,Total medical and dental expense deduction amount,State and local income taxes amount,State and local general sales tax amount,Real estate taxes amount,Personal property taxes amount,Limited state and local taxes,Home mortgage interest paid amount,Home mortgage from personal seller amount,Deductible points amount,Qualified mortgage insurance premiums amount,Investment interest paid amount,Total charitable contributions amount,Other non-limited miscellaneous deductions amount,Qualified business income deduction,Excess advance premium tax credit repayment amount,Foreign tax credit amount,Child and dependent care credit amount,Nonrefundable education credit amount,Retirement savings contribution credit amount,Nonrefundable child and other dependent credit amount,Residential energy tax credit amount,Self-employment tax amount,Advance premium tax credit amount,Earned income credit amount [12]  ,Excess earned income credit (refundable) amount [13]  ,Refundable child tax credit or additional child tax credit amount,Refundable education credit amount,Net premium tax credit amount,"Qualified sick and family leave credit for leave taken before April 1, 2021 amount",Refundable child and dependent care credit,"Qualified sick and family leave credit for leave taken after March 31, 2021",Recovery rebate credit amount [15],"Economic impact payment third round amount [16, 17]",Additional Medicare tax amount,Net investment income tax amount,Credited to next year’s estimated tax amount
98951,3,53,WA,5660.0,2720.0,1560.0,1350.0,5260.0,260.0,3120.0,4090.0,100.0,12070.0,50.0,0.0,50.0,1200.0,890.0,189945.0,1351.0,1515.0,1167.0,0.0,5208.0,11970.0,3180.0,10052.0,94.0,11362.0,6224.0,8542.0,16.0,0.0,423.0,270.0,54.0,284.0,95947.0,1160.0,1022.0,0.0,201.0,238.0,25.0,464.0,421.0,0.0,0.0,0.0,0.0,1076.0,0.0,2395.0,0.0,6.0,0.0,248.0,82.0,423.0,25.0,1159.0,345.0,4148.0,3131.0,7397.0,178.0,48.0,0.0,444.0,0.0,1106.0,14701.0,0.0,58.0,279.0
98952,1,53,WA,690.0,330.0,160.0,210.0,660.0,20.0,430.0,530.0,0.0,1470.0,0.0,0.0,0.0,290.0,130.0,22282.0,16.0,0.0,0.0,0.0,301.0,0.0,0.0,1445.0,20.0,1012.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11430.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,13.0,35.0,0.0,75.0,0.0,523.0,394.0,1004.0,0.0,0.0,0.0,0.0,0.0,129.0,1896.0,0.0,0.0,0.0
98953,12,53,WA,3140.0,1430.0,1190.0,500.0,2970.0,110.0,1570.0,2140.0,100.0,6450.0,0.0,0.0,0.0,450.0,700.0,148980.0,1116.0,2728.0,1928.0,0.0,3767.0,15109.0,5593.0,12471.0,122.0,6422.0,7459.0,10277.0,37.0,0.0,406.0,127.0,65.0,279.0,54300.0,1021.0,713.0,0.0,288.0,453.0,23.0,756.0,794.0,0.0,0.0,0.0,0.0,2040.0,0.0,3102.0,0.0,12.0,0.0,168.0,33.0,247.0,85.0,987.0,207.0,1203.0,843.0,3080.0,104.0,36.0,0.0,187.0,0.0,460.0,7797.0,43.0,209.0,625.0
99001,21,53,WA,3350.0,1700.0,980.0,610.0,3210.0,40.0,1130.0,2600.0,170.0,6350.0,40.0,0.0,40.0,920.0,480.0,124055.0,270.0,302.0,152.0,0.0,3411.0,4385.0,2051.0,11076.0,0.0,5627.0,3757.0,2028.0,0.0,0.0,0.0,0.0,82.0,215.0,56124.0,606.0,0.0,0.0,114.0,176.0,5.0,314.0,370.0,0.0,0.0,0.0,0.0,323.0,911.0,1041.0,37.0,2.0,0.0,156.0,83.0,147.0,0.0,665.0,299.0,2138.0,1691.0,3453.0,102.0,9.0,0.0,191.0,0.0,515.0,8409.0,0.0,0.0,0.0
99003,15,53,WA,2680.0,1070.0,1370.0,210.0,2510.0,80.0,1190.0,1690.0,110.0,5460.0,0.0,0.0,0.0,340.0,940.0,139377.0,1240.0,3090.0,2007.0,0.0,6222.0,25139.0,6659.0,22564.0,74.0,4283.0,10489.0,14988.0,13.0,0.0,483.0,273.0,29.0,378.0,48347.0,1379.0,557.0,0.0,458.0,766.0,19.0,1172.0,1525.0,0.0,0.0,0.0,0.0,2245.0,0.0,3514.0,45.0,11.0,0.0,97.0,24.0,138.0,50.0,1027.0,307.0,811.0,584.0,2104.0,58.0,31.0,0.0,147.0,0.0,303.0,6716.0,76.0,481.0,567.0
99004,67,53,WA,9780.0,5150.0,3690.0,800.0,9280.0,240.0,3220.0,6990.0,530.0,17540.0,100.0,0.0,100.0,1640.0,2200.0,432981.0,2330.0,5513.0,3526.0,0.0,15089.0,40413.0,15727.0,59315.0,158.0,12435.0,25251.0,26233.0,43.0,0.0,839.0,512.0,366.0,1037.0,163928.0,3226.0,1931.0,220.0,985.0,1567.0,69.0,2417.0,3408.0,0.0,27.0,98.0,0.0,4830.0,1231.0,6743.0,147.0,40.0,0.0,751.0,129.0,385.0,60.0,2725.0,855.0,2918.0,2193.0,6693.0,525.0,141.0,0.0,516.0,0.0,1273.0,22042.0,128.0,565.0,1519.0
99005,45,53,WA,4930.0,1870.0,2680.0,310.0,4650.0,160.0,2170.0,2890.0,270.0,10470.0,0.0,0.0,0.0,440.0,1450.0,335764.0,4321.0,8120.0,5597.0,0.0,18204.0,84080.0,18094.0,38427.0,70.0,6150.0,18139.0,137750.0,38.0,811.0,1866.0,628.0,114.0,763.0,84632.0,2070.0,1233.0,628.0,1457.0,2937.0,72.0,3904.0,5400.0,0.0,44.0,37.0,0.0,8912.0,1338.0,17909.0,150.0,137.0,0.0,340.0,37.0,359.0,114.0,2846.0,744.0,843.0,611.0,4035.0,229.0,93.0,0.0,303.0,0.0,570.0,11647.0,332.0,1606.0,5336.0
99006,26,53,WA,6420.0,2610.0,3230.0,510.0,6050.0,200.0,2930.0,4150.0,270.0,13370.0,30.0,0.0,30.0,840.0,2070.0,307467.0,3126.0,4947.0,3472.0,0.0,13264.0,35122.0,18416.0,49101.0,205.0,10118.0,22779.0,27160.0,28.0,0.0,1002.0,524.0,138.0,882.0,115644.0,3138.0,2267.0,262.0,1043.0,1507.0,37.0,2353.0,3060.0,0.0,13.0,74.0,0.0,3747.0,788.0,6741.0,171.0,82.0,0.0,290.0,71.0,350.0,85.0,2417.0,940.0,1980.0,1372.0,5743.0,169.0,187.0,0.0,270.0,0.0,751.0,16986.0,97.0,587.0,1410.0
99008,4,53,WA,270.0,130.0,140.0,20.0,270.0,0.0,140.0,160.0,0.0,560.0,0.0,0.0,0.0,40.0,100.0,13321.0,45.0,327.0,170.0,0.0,101.0,498.0,311.0,1244.0,20.0,0.0,725.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5013.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,91.0,69.0,221.0,0.0,0.0,0.0,0.0,0.0,35.0,717.0,0.0,0.0,0.0
99009,15,53,WA,1910.0,830.0,900.0,150.0,1780.0,50.0,830.0,1270.0,70.0,3810.0,0.0,0.0,0.0,290.0,580.0,86962.0,1001.0,973.0,643.0,0.0,2655.0,7951.0,4473.0,11538.0,81.0,3528.0,5614.0,3531.0,0.0,0.0,297.0,147.0,46.0,214.0,33968.0,833.0,290.0,0.0,226.0,327.0,14.0,537.0,762.0,0.0,0.0,0.0,0.0,640.0,0.0,1182.0,36.0,4.0,0.0,67.0,20.0,89.0,0.0,550.0,342.0,665.0,444.0,1563.0,38.0,25.0,0.0,30.0,0.0,224.0,4944.0,16.0,83.0,155.0
